elapsed,lag
5.03,77000
5.16,150000
5.30,150000
5.43,150000
5.56,150000
5.69,150000
5.82,150000
5.96,150000
6.09,207000
6.22,250000
6.35,250000
6.49,250000
6.63,250000
6.76,250000
6.90,250000
7.04,273000
7.17,350000
7.30,350000
7.44,350000
7.58,350000
7.72,350000
7.85,350000
7.99,350000
8.12,425000
8.25,450000
8.38,450000
8.52,450000
8.65,450000
8.79,450000
8.92,450000
9.05,484000
9.19,550000
9.32,550000
9.45,550000
9.58,550000
9.72,550000
9.85,550000
9.98,550000
10.11,77000
10.25,100000
10.38,100000
10.51,100000
10.64,100000
10.77,100000
10.92,100000
11.05,138000
11.19,200000
11.32,200000
11.45,200000
11.60,200000
11.74,200000
11.88,200000
12.03,221000
12.16,300000
12.30,300000
12.43,300000
12.57,300000
12.70,300000
12.83,300000
12.97,300000
13.10,345000
13.23,400000
13.36,400000
13.50,400000
13.63,400000
13.76,400000
13.89,400000
14.03,419000
14.16,500000
14.29,500000
14.43,500000
14.56,500000
14.69,500000
14.83,500000
14.96,500000
15.10,45000
15.23,100000
15.36,100000
15.49,100000
15.63,100000
15.76,100000
15.89,100000
16.03,115000
16.16,200000
16.29,200000
16.43,200000
16.56,200000
16.70,200000
16.83,200000
16.97,200000
17.10,260000
17.24,300000
17.37,300000
17.51,300000
17.64,300000
17.78,300000
17.91,300000
18.05,329000
18.18,400000
18.32,400000
18.45,400000
18.59,400000
18.72,400000
18.85,400000
18.98,400000
19.12,476000
19.25,500000
19.38,500000
19.53,500000
19.66,500000
19.79,500000
19.92,500000
20.06,38000
20.19,100000
20.32,100000
20.45,100000
20.59,100000
20.72,100000
20.85,100000
20.98,100000
21.11,175000
21.24,200000
21.38,200000
21.52,200000
21.65,200000
21.78,200000
21.92,200000
22.05,230000
22.18,300000
22.32,300000
22.45,300000
22.58,300000
22.72,300000
22.85,300000
22.98,300000
23.12,387000
23.27,400000
23.40,400000
23.54,400000
23.67,400000
23.80,400000
23.93,400000
24.07,440000
24.21,500000
24.34,500000
24.48,500000
24.61,500000
24.75,500000
24.88,500000
25.01,12000
25.15,100000
25.28,100000
25.42,100000
25.56,100000
25.70,100000
25.84,100000
25.98,100000
26.12,180000
26.26,200000
26.39,200000
26.52,200000
26.66,200000
26.79,200000
26.93,200000
27.06,239000
27.20,300000
27.33,300000
27.47,300000
27.60,300000
27.73,300000
