elapsed,lag
5.02,13000
5.15,100000
5.28,100000
5.42,100000
5.55,100000
5.69,100000
5.82,100000
5.95,100000
6.09,153000
6.22,200000
6.36,200000
6.49,200000
6.62,200000
6.76,200000
6.89,200000
7.03,219000
7.16,300000
7.30,300000
7.43,300000
7.56,300000
7.69,300000
7.82,300000
7.96,300000
8.09,356000
8.23,400000
8.36,400000
8.50,400000
8.64,400000
8.77,400000
8.91,400000
9.04,425000
9.17,500000
9.30,500000
9.44,500000
9.58,500000
9.71,500000
9.85,500000
9.98,500000
10.12,72000
10.25,100000
10.39,100000
10.52,100000
10.66,100000
10.79,100000
10.92,100000
11.06,138000
11.20,200000
11.33,200000
11.46,200000
11.60,200000
11.73,200000
11.86,200000
11.99,200000
12.13,294000
12.27,300000
12.40,300000
12.53,300000
12.67,300000
12.80,300000
12.93,300000
13.06,336000
13.20,400000
13.33,400000
13.46,400000
13.60,400000
13.73,400000
13.86,400000
13.99,400000
14.13,497000
14.27,500000
14.40,500000
14.53,500000
14.66,500000
14.80,500000
14.93,500000
15.06,30000
15.20,100000
15.34,100000
15.47,100000
15.61,100000
15.74,100000
15.87,100000
16.00,100000
16.13,200000
16.27,200000
16.40,200000
16.54,200000
16.69,200000
16.83,200000
16.96,200000
17.10,260000
17.23,300000
17.36,300000
17.49,300000
17.63,300000
17.76,300000
17.90,300000
18.04,328000
18.17,400000
18.31,400000
18.45,400000
18.58,400000
18.71,400000
18.85,400000
18.99,400000
19.12,481000
19.25,500000
19.38,500000
19.52,500000
19.66,500000
19.79,500000
19.92,500000
20.05,31000
20.19,100000
20.33,100000
20.47,100000
20.60,100000
20.74,100000
20.87,100000
21.00,100000
21.13,196000
21.27,200000
21.40,200000
21.53,200000
21.66,200000
21.80,200000
21.93,200000
22.07,239000
22.20,300000
22.33,300000
22.46,300000
22.60,300000
22.73,300000
22.86,300000
22.99,300000
23.12,390000
23.26,400000
23.39,400000
23.53,400000
23.66,400000
23.79,400000
23.92,400000
24.06,439000
24.20,500000
24.33,500000
24.47,500000
24.61,500000
24.75,500000
24.89,500000
25.02,15000
25.16,100000
25.29,100000
25.43,100000
25.56,100000
25.69,100000
25.83,100000
25.96,100000
26.09,165000
26.23,200000
26.37,200000
26.50,200000
26.63,200000
26.76,200000
26.90,200000
27.03,219000
27.16,300000
27.29,300000
27.43,300000
27.56,300000
27.69,300000
27.82,300000
27.95,300000
28.08,347000
28.22,400000
28.36,400000
28.49,400000
28.62,400000
28.76,400000
28.89,400000
29.02,418000
29.16,500000
29.29,500000
29.43,500000
29.56,500000
29.70,500000
29.84,500000
29.97,500000
30.10,82000
30.24,100000
30.38,100000
30.51,100000
30.64,100000
30.77,100000
30.91,100000
31.05,130000
31.18,200000
31.32,200000
31.45,200000
31.58,200000
31.72,200000
31.85,200000
31.98,200000
32.11,288000
32.26,300000
32.39,300000
32.53,300000
32.66,300000
32.79,300000
32.92,300000
33.07,340000
33.21,400000
33.34,400000
33.47,400000
33.60,400000
33.74,400000
33.87,400000
34.00,400000
34.13,487000
34.26,500000
34.40,500000
34.53,500000
34.67,500000
34.81,500000
34.94,500000
35.07,41000
35.21,100000
35.34,100000
35.48,100000
35.62,100000
35.75,100000
35.88,100000
36.02,112000
36.15,200000
36.28,200000
36.42,200000
36.56,200000
36.69,200000
36.83,200000
36.96,200000
37.09,247000
37.23,300000
37.36,300000
37.50,300000
37.63,300000
37.76,300000
37.90,300000
38.03,320000
38.17,400000
38.31,400000
38.44,400000
38.58,400000
38.71,400000
38.84,400000
38.97,400000
39.10,459000
39.23,500000
39.37,500000
39.50,500000
39.63,500000
39.76,500000
39.90,500000
40.03,21000
40.17,100000
40.30,100000
40.43,100000
40.57,100000
40.70,100000
40.83,100000
40.96,100000
41.10,169000
41.23,200000
41.37,200000
41.51,200000
41.64,200000
41.78,200000
41.91,200000
42.04,234000
42.18,300000
42.32,300000
42.45,300000
42.58,300000
42.72,300000
42.85,300000
42.99,300000
43.12,389000
43.26,400000
43.39,400000
43.52,400000
43.65,400000
43.79,400000
43.93,400000
44.06,432000
44.20,500000
44.33,500000
44.46,500000
44.61,500000
44.74,500000
44.87,500000
45.00,3000
45.14,99000
45.27,100000
45.40,100000
45.54,100000
45.67,100000
45.81,100000
45.94,100000
46.08,153000
46.21,200000
46.36,200000
46.49,200000
46.62,200000
46.76,200000
46.89,200000
47.02,217000
47.16,300000
47.29,300000
47.42,300000
47.56,300000
47.69,300000
47.82,300000
47.96,300000
48.09,345000
48.23,400000
48.36,400000
48.50,400000
48.63,400000
48.77,400000
48.90,400000
49.03,421000
49.16,500000
49.30,500000
49.43,500000
49.56,500000
49.70,500000
49.84,500000
49.97,500000
50.11,80000
50.26,100000
50.39,100000
50.52,100000
50.66,100000
50.79,100000
50.93,100000
51.06,140000
51.19,200000
51.33,200000
51.46,200000
51.59,200000
51.73,200000
51.86,200000
51.99,200000
52.12,297000
52.25,300000
52.39,300000
52.52,300000
52.65,300000
52.78,300000
52.93,300000
53.06,335000
53.20,400000
53.33,400000
53.46,400000
53.59,400000
53.72,400000
53.86,400000
53.99,400000
54.12,480000
54.26,500000
54.40,500000
54.54,500000
54.67,500000
54.80,500000
54.93,500000
55.06,39000
55.20,100000
55.34,100000
55.47,100000
55.60,100000
55.73,100000
55.87,100000
56.00,100000
56.13,199000
56.26,200000
56.39,200000
56.53,200000
56.66,200000
56.80,200000
56.93,200000
57.06,238000
57.20,300000
57.34,300000
57.47,300000
57.60,300000
57.73,300000
57.86,300000
57.99,300000
58.13,386000
58.26,400000
58.40,400000
58.55,400000
58.68,400000
58.81,400000
58.95,400000
59.08,442000
59.21,500000
59.35,500000
59.48,500000
59.61,500000
59.75,500000
59.88,500000
60.02,10000
60.15,100000
60.29,100000
60.42,100000
60.56,100000
60.69,100000
60.83,100000
60.96,100000
61.09,159000
61.23,200000
61.36,200000
61.50,200000
61.63,200000
61.76,200000
61.90,200000
62.03,221000
62.16,300000
62.30,300000
62.43,300000
62.57,300000
62.70,300000
62.83,300000
62.96,300000
63.09,357000
63.23,400000
63.36,400000
63.49,400000
63.63,400000
63.76,400000
63.90,400000
64.03,421000
64.16,500000
64.30,500000
64.43,500000
64.56,500000
64.69,500000
64.83,500000
64.96,500000
65.10,66000
65.23,100000
65.36,100000
65.49,100000
65.63,100000
65.76,100000
65.89,100000
66.02,116000
66.16,200000
66.29,200000
66.43,200000
66.56,200000
66.69,200000
66.83,200000
66.96,200000
67.09,272000
67.23,300000
67.37,300000
67.50,300000
67.63,300000
67.77,300000
67.90,300000
68.04,325000
68.17,400000
68.31,400000
68.44,400000
68.57,400000
68.71,400000
68.84,400000
68.97,400000
69.10,464000
69.24,500000
69.37,500000
69.50,500000
69.65,500000
69.78,500000
69.92,500000
70.06,33000
70.19,100000
70.33,100000
70.46,100000
70.60,100000
70.73,100000
70.88,100000
71.01,106000
71.14,200000
71.28,200000
71.41,200000
71.54,200000
71.67,200000
71.81,200000
71.94,200000
72.07,243000
72.21,300000
72.34,300000
72.48,300000
72.62,300000
72.75,300000
72.88,300000
73.02,316000
73.16,400000
73.30,400000
73.43,400000
73.56,400000
73.69,400000
73.83,400000
73.96,400000
74.10,465000
74.23,500000
74.36,500000
74.50,500000
74.63,500000
74.77,500000
74.90,500000
75.03,22000
75.17,100000
75.30,100000
75.43,100000
75.56,100000
75.70,100000
75.83,100000
75.97,100000
76.10,155000
76.23,200000
76.37,200000
76.50,200000
76.64,200000
76.77,200000
76.90,200000
77.03,222000
77.17,300000
77.31,300000
77.44,300000
77.57,300000
77.70,300000
77.83,300000
77.96,300000
78.10,356000
78.23,400000
78.36,400000
78.50,400000
78.63,400000
78.76,400000
78.89,400000
79.02,417000
79.16,500000
79.29,500000
79.43,500000
79.56,500000
79.69,500000
79.82,500000
79.95,500000
80.09,61000
80.23,100000
80.36,100000
