elapsed,lag
5.04,50942
5.20,50942
5.36,50942
5.52,50942
5.67,50942
5.83,50942
5.99,59942
6.15,60942
6.31,60942
6.47,60942
6.63,60942
6.78,60942
6.94,60942
7.10,70942
7.25,70942
7.41,70942
7.58,70942
7.74,70942
7.90,70942
8.06,80942
8.22,80942
8.38,80942
8.55,80942
8.72,80942
8.89,80942
9.06,90942
9.23,90942
9.39,90942
9.55,90942
9.71,90942
9.88,90942
10.04,78519
10.20,78519
10.36,78519
10.51,78519
10.67,78519
10.83,78519
10.99,84519
11.14,88519
11.29,88519
11.45,88519
11.60,88519
11.75,88519
11.90,88519
12.06,98519
12.22,98519
12.38,98519
12.53,98519
12.68,98519
12.85,98519
13.01,108519
13.16,108519
13.31,108519
13.47,108519
13.62,108519
13.77,108519
13.92,108519
14.07,118519
14.22,118519
14.37,118519
14.52,118519
14.67,118519
14.83,118519
14.98,119519
15.13,103416
15.28,103416
15.43,103416
15.58,103416
15.73,103416
15.88,103416
16.04,113416
16.19,113416
16.34,113416
16.49,113416
16.64,113416
16.80,113416
16.95,113416
17.10,123416
17.25,123416
17.40,123416
17.56,123416
17.71,123416
17.87,123416
18.02,133416
18.18,133416
18.33,133416
18.48,133416
18.64,133416
18.80,133416
18.95,133416
19.10,143416
19.25,143416
19.40,143416
19.56,143416
19.71,143416
19.86,143416
20.01,126860
20.16,126860
20.33,126860
20.48,126860
20.63,126860
20.79,126860
20.94,126860
21.09,136860
21.25,136860
21.42,136860
21.58,136860
21.74,136860
21.89,136860
22.05,146860
22.20,146860
22.36,146860
22.51,146860
22.67,146860
22.83,146860
22.99,154860
23.15,156860
23.31,156860
23.46,156860
23.61,156860
23.77,156860
23.92,156860
24.07,166860
24.22,166860
24.39,166860
24.54,166860
24.69,166860
24.85,166860
25.01,150386
25.16,150386
25.31,150386
25.46,150386
25.61,150386
25.76,150386
25.91,150386
26.06,160386
26.21,160386
26.36,160386
26.52,160386
26.67,160386
26.82,160386
26.97,161386
27.13,170386
27.29,170386
27.44,170386
27.60,170386
27.74,170386
27.90,170386
28.05,180386
28.21,180386
28.37,180386
28.53,180386
28.68,180386
28.84,180386
28.99,188386
29.14,190386
29.29,190386
29.44,190386
29.60,190386
29.75,190386
29.90,190386
30.06,174094
30.24,174094
30.39,174094
30.55,174094
30.71,174094
30.86,174094
31.01,184094
31.16,184094
31.31,184094
31.46,184094
31.61,184094
31.77,184094
31.92,184094
32.07,194094
32.22,194094
32.37,194094
32.52,194094
32.68,194094
32.83,194094
32.99,202094
33.14,204094
33.30,204094
33.45,204094
33.60,204094
33.77,204094
33.92,204094
34.08,214094
34.23,214094
34.40,214094
34.55,214094
34.71,214094
34.87,214094
35.03,198150
35.20,198150
35.36,198150
35.51,198150
35.68,198150
35.83,198150
35.99,203150
36.14,208150
36.29,208150
36.44,208150
36.59,208150
36.74,208150
36.90,208150
37.06,218150
37.20,218150
37.35,218150
37.51,218150
37.68,218150
37.83,218150
37.98,228150
38.15,228150
38.30,228150
38.45,228150
38.60,228150
38.75,228150
38.92,228150
39.07,238150
39.22,238150
39.37,238150
39.52,238150
39.69,238150
39.85,238150
40.00,221413
40.15,221413
40.31,221413
40.46,221413
40.63,221413
40.78,221413
40.94,221413
41.10,231413
41.25,231413
41.41,231413
41.56,231413
41.71,231413
41.87,231413
42.02,241413
42.18,241413
42.35,241413
42.51,241413
42.66,241413
42.81,241413
42.97,241413
43.11,251413
43.28,251413
43.43,251413
43.58,251413
43.74,251413
43.89,251413
44.05,261413
44.20,261413
44.35,261413
44.50,261413
44.65,261413
44.80,261413
44.95,261413
45.11,245739
45.26,245739
45.41,245739
45.58,245739
45.73,245739
45.89,245739
46.04,255739
46.20,255739
46.35,255739
46.50,255739
46.66,255739
46.81,255739
46.96,255739
47.12,265739
47.27,265739
47.41,265739
47.56,265739
47.72,265739
47.87,265739
48.02,275739
48.17,275739
48.32,275739
48.47,275739
48.61,275739
48.77,275739
48.92,275739
49.07,285739
49.22,285739
49.37,285739
49.52,285739
49.68,285739
49.83,285739
49.97,285739
50.12,268822
50.28,268822
50.43,268822
50.58,268822
50.73,268822
50.88,268822
51.03,278822
51.19,278822
51.34,278822
51.49,278822
51.65,278822
51.81,278822
51.97,278822
52.12,288822
52.28,288822
52.43,288822
52.59,288822
52.74,288822
52.89,288822
53.05,298822
53.21,298822
53.37,298822
53.53,298822
53.68,298822
53.83,298822
53.99,305822
54.14,308822
54.29,308822
54.45,308822
54.60,308822
54.75,308822
54.90,308822
55.05,293275
55.20,293275
55.36,293275
55.51,293275
55.66,293275
55.81,293275
55.96,293275
56.11,303275
56.26,303275
56.41,303275
56.56,303275
56.71,303275
56.87,303275
57.02,313275
57.17,313275
57.33,313275
57.48,313275
57.63,313275
57.79,313275
57.95,313275
58.10,323275
58.26,323275
58.41,323275
58.56,323275
58.71,323275
58.87,323275
59.02,333275
59.17,333275
59.32,333275
59.47,333275
59.62,333275
59.77,333275
59.93,333275
60.08,316795
60.24,316795
60.39,316795
60.56,316795
60.71,316795
60.86,316795
61.02,326795
61.17,326795
61.33,326795
61.49,326795
61.64,326795
61.80,326795
61.98,327795
62.13,336795
62.28,336795
62.44,336795
62.60,336795
62.75,336795
62.92,336795
63.08,346795
63.24,346795
63.39,346795
63.55,346795
63.70,346795
63.86,346795
64.01,356795
64.18,356795
64.33,356795
64.50,356795
64.66,356795
64.82,356795
64.97,359795
65.13,342961
65.30,342961
65.45,342961
65.62,342961
65.78,342961
65.94,342961
66.09,352961
66.25,352961
66.41,352961
66.57,352961
66.73,352961
66.88,352961
67.04,362961
67.19,362961
67.35,362961
67.51,362961
67.66,362961
67.82,362961
68.00,372961
68.16,372961
68.33,372961
68.49,372961
68.65,372961
68.81,372961
68.97,373961
69.13,382961
69.29,382961
69.45,382961
69.61,382961
69.76,382961
69.92,382961
70.07,369786
70.23,369786
70.38,369786
70.54,369786
70.71,369786
70.87,369786
71.02,379786
71.18,379786
71.33,379786
71.49,379786
71.64,379786
71.80,379786
71.96,379786
72.12,389786
72.28,389786
72.44,389786
72.60,389786
72.76,389786
72.92,389786
73.07,399786
73.23,399786
73.39,399786
73.55,399786
73.73,399786
73.89,399786
74.06,409786
74.21,409786
74.37,409786
74.53,409786
74.69,409786
74.85,409786
75.01,396921
75.17,396921
75.33,396921
75.49,396921
75.68,396921
75.85,396921
76.01,406921
76.17,406921
76.33,406921
76.49,406921
76.66,406921
76.83,406921
76.99,416921
77.15,416921
77.30,416921
77.47,416921
77.63,416921
77.79,416921
77.94,416921
78.10,426921
78.25,426921
78.41,426921
78.57,426921
78.72,426921
78.89,426921
79.05,436921
79.21,436921
79.37,436921
79.52,436921
79.68,436921
79.84,436921
80.00,424417
80.16,424417
80.32,424417
80.49,424417
80.65,424417
80.81,424417
80.98,427417
81.13,434417
81.29,434417
81.44,434417
81.59,434417
81.75,434417
81.90,434417
82.06,444417
82.22,444417
82.38,444417
82.54,444417
82.69,444417
82.85,444417
83.01,454417
83.16,454417
83.31,454417
83.47,454417
83.62,454417
83.78,454417
83.94,454417
84.09,464417
84.26,464417
84.41,464417
84.57,464417
84.73,464417
84.90,464417
85.06,450393
85.21,450393
85.37,450393
85.53,450393
85.68,450393
85.86,450393
86.02,460393
86.18,460393
86.33,460393
86.49,460393
86.64,460393
86.79,460393
86.95,460393
87.11,470393
87.28,470393
87.43,470393
87.59,470393
87.76,470393
87.91,470393
88.07,480393
88.22,480393
88.38,480393
88.53,480393
88.70,480393
88.85,480393
89.01,490393
89.17,490393
89.33,490393
89.49,490393
89.64,490393
89.82,490393
89.97,493393
90.13,476019
90.29,476019
90.45,476019
90.60,476019
90.77,476019
90.92,476019
91.08,486019
91.23,486019
91.39,486019
91.55,486019
91.70,486019
91.86,486019
92.02,496019
92.18,496019
92.33,496019
92.49,496019
92.65,496019
92.81,496019
92.96,496019
93.12,506019
93.28,506019
93.44,506019
93.60,506019
93.76,506019
93.92,506019
94.07,516019
94.23,516019
94.39,516019
94.55,516019
94.71,516019
94.87,516019
95.03,502836
95.19,502836
95.35,502836
95.50,502836
95.67,502836
95.83,502836
96.00,512836
96.16,512836
96.32,512836
96.47,512836
96.63,512836
96.78,512836
96.94,512836
97.09,522836
97.25,522836
97.41,522836
97.57,522836
97.72,522836
97.88,522836
98.03,532836
98.20,532836
98.35,532836
98.51,532836
98.67,532836
98.83,532836
98.99,542836
99.15,542836
99.31,542836
99.47,542836
99.63,542836
99.79,542836
99.94,542836
100.09,529425
100.25,529425
100.40,529425
100.56,529425
100.72,529425
100.87,529425
101.03,539425
101.19,539425
101.34,539425
101.50,539425
101.66,539425
101.82,539425
101.97,540425
102.13,549425
102.29,549425
102.44,549425
102.61,549425
102.77,549425
102.93,549425
103.09,559425
103.25,559425
103.42,559425
103.58,559425
103.74,559425
103.90,559425
104.06,569425
104.22,569425
104.37,569425
104.53,569425
104.69,569425
104.84,569425
105.01,556066
105.16,556066
105.32,556066
105.47,556066
105.63,556066
105.78,556066
105.94,556066
106.10,566066
106.26,566066
106.42,566066
106.57,566066
106.73,566066
106.89,566066
107.05,576066
107.20,576066
107.36,576066
107.52,576066
107.69,576066
107.84,576066
108.00,586066
108.16,586066
108.32,586066
108.48,586066
108.64,586066
108.79,586066
108.95,586066
109.10,596066
109.26,596066
109.41,596066
109.57,596066
109.73,596066
109.89,596066
110.06,582368
110.21,582368
110.37,582368
110.53,582368
110.68,582368
110.85,582368
111.01,592368
111.17,592368
111.32,592368
111.48,592368
111.63,592368
111.79,592368
111.95,592368
112.11,602368
112.26,602368
112.42,602368
112.57,602368
112.73,602368
112.89,602368
113.05,612368
113.20,612368
113.36,612368
113.53,612368
113.69,612368
113.86,612368
114.02,622368
114.18,622368
114.34,622368
114.50,622368
114.66,622368
114.81,622368
114.96,622368
115.12,608644
115.27,608644
115.43,608644
115.58,608644
115.74,608644
115.90,608644
116.05,618644
116.21,618644
116.36,618644
116.51,618644
116.67,618644
116.83,618644
116.99,626644
117.14,628644
117.30,628644
117.45,628644
117.61,628644
117.77,628644
117.93,628644
118.08,638644
118.23,638644
118.39,638644
118.56,638644
118.72,638644
118.87,638644
119.03,648644
119.19,648644
119.35,648644
119.50,648644
119.66,648644
119.81,648644
119.97,651644
120.13,634948
120.29,634948
120.44,634948
120.60,634948
120.75,634948
120.91,634948
121.07,644948
121.23,644948
121.40,644948
121.55,644948
121.72,644948
121.88,644948
122.04,654948
122.20,654948
122.35,654948
122.51,654948
122.66,654948
122.82,654948
122.98,658948
123.14,664948
123.31,664948
123.46,664948
123.62,664948
123.78,664948
123.93,664948
124.09,674948
124.25,674948
124.40,674948
124.56,674948
124.72,674948
124.87,674948
125.03,661509
125.20,661509
125.35,661509
125.51,661509
125.66,661509
125.81,661509
125.99,669509
126.14,671509
126.30,671509
126.45,671509
126.60,671509
126.76,671509
126.92,671509
127.07,681509
127.22,681509
127.38,681509
127.53,681509
127.69,681509
127.85,681509
128.01,691509
128.16,691509
128.32,691509
128.48,691509
128.64,691509
128.80,691509
128.96,691509
129.11,701509
129.27,701509
129.43,701509
129.58,701509
129.74,701509
129.89,701509
130.05,687407
130.20,687407
130.36,687407
130.52,687407
130.68,687407
130.83,687407
130.99,695407
131.14,697407
131.30,697407
131.46,697407
131.62,697407
131.78,697407
131.93,697407
132.09,707407
132.25,707407
132.40,707407
132.56,707407
132.72,707407
132.87,707407
133.03,717407
133.19,717407
133.34,717407
133.50,717407
133.65,717407
133.80,717407
133.96,717407
134.11,727407
134.27,727407
134.43,727407
134.58,727407
134.74,727407
134.89,727407
135.05,713615
135.21,713615
135.37,713615
135.53,713615
135.69,713615
135.87,713615
136.03,723615
136.21,723615
136.37,723615
136.55,723615
136.72,723615
136.89,723615
137.08,733615
137.26,733615
137.41,733615
137.57,733615
137.74,733615
137.90,733615
138.07,743615
138.23,743615
138.38,743615
138.54,743615
138.71,743615
138.89,743615
139.05,753615
139.21,753615
139.37,753615
139.52,753615
139.68,753615
139.84,753615
140.02,740730
140.17,740730
140.34,740730
140.51,740730
140.67,740730
140.84,740730
141.00,750730
141.17,750730
141.33,750730
141.48,750730
141.64,750730
141.81,750730
141.97,750730
142.13,760730
142.29,760730
142.44,760730
142.60,760730
142.77,760730
142.94,760730
143.09,770730
143.25,770730
143.40,770730
143.56,770730
143.73,770730
143.88,770730
144.04,780730
144.20,780730
144.36,780730
144.51,780730
144.67,780730
144.82,780730
144.98,783730
145.13,767374
145.30,767374
145.46,767374
145.61,767374
145.77,767374
145.92,767374
146.08,777374
146.24,777374
146.40,777374
146.55,777374
146.71,777374
146.86,777374
147.02,787374
147.18,787374
147.33,787374
147.49,787374
147.64,787374
147.80,787374
147.96,791374
148.13,797374
148.30,797374
148.45,797374
148.64,797374
148.82,797374
148.99,806374
149.15,807374
149.31,807374
149.47,807374
149.64,807374
149.79,807374
149.96,807374
150.11,793425
150.27,793425
150.43,793425
150.60,793425
150.78,793425
150.94,793425
151.10,803425
151.26,803425
151.41,803425
151.57,803425
151.74,803425
