elapsed,lag
5.05,10000
5.18,10000
5.32,10000
5.45,10000
5.59,10000
5.72,10000
5.85,10000
5.98,10000
6.12,20000
6.25,20000
6.38,20000
6.52,20000
6.65,20000
6.79,20000
6.92,20000
7.05,30000
7.19,30000
7.33,30000
7.47,30000
7.60,30000
7.74,30000
7.87,30000
8.01,35000
8.14,40000
8.27,40000
8.41,40000
8.54,40000
8.67,40000
8.81,40000
8.95,40000
9.08,50000
9.21,50000
9.35,50000
9.49,50000
9.62,50000
9.76,50000
9.89,50000
10.02,10000
10.16,10000
10.29,10000
10.42,10000
10.56,10000
10.69,10000
10.82,10000
10.96,10000
11.09,20000
11.22,20000
11.36,20000
11.49,20000
11.63,20000
11.76,20000
11.89,20000
12.03,30000
12.16,30000
12.29,30000
12.43,30000
12.56,30000
12.70,30000
12.83,30000
12.96,30000
13.10,40000
13.23,40000
13.36,40000
13.50,40000
13.63,40000
13.76,40000
13.90,40000
14.03,50000
14.16,50000
14.29,50000
14.43,50000
14.56,50000
14.69,50000
14.83,50000
14.96,50000
15.09,10000
15.22,10000
15.35,10000
15.49,10000
15.62,10000
15.75,10000
15.89,10000
16.02,20000
16.15,20000
16.30,20000
16.43,20000
16.56,20000
16.71,20000
16.85,20000
16.98,20000
17.12,30000
17.25,30000
17.38,30000
17.52,30000
17.65,30000
17.79,30000
17.92,30000
18.06,40000
18.19,40000
18.32,40000
18.46,40000
18.59,40000
18.72,40000
18.86,40000
18.99,40000
19.12,50000
19.26,50000
19.39,50000
19.53,50000
19.66,50000
19.79,50000
19.93,50000
20.06,10000
20.20,10000
20.33,10000
20.46,10000
20.60,10000
20.73,10000
20.86,10000
21.00,10000
21.13,20000
21.27,20000
21.40,20000
21.53,20000
21.66,20000
21.80,20000
21.93,20000
22.06,30000
22.20,30000
22.34,30000
22.47,30000
22.60,30000
22.74,30000
22.87,30000
23.00,32000
23.13,40000
23.27,40000
23.40,40000
23.54,40000
23.67,40000
23.80,40000
23.94,40000
24.07,50000
24.21,50000
24.34,50000
24.47,50000
24.61,50000
24.74,50000
24.87,50000
25.00,52000
25.14,8000
25.27,8000
25.42,8000
25.55,8000
25.68,8000
25.82,8000
25.95,8000
26.08,18000
26.22,18000
26.35,18000
26.48,18000
26.62,18000
26.75,18000
26.89,18000
27.02,28000
27.15,28000
27.29,28000
27.42,28000
27.56,28000
27.69,28000
27.82,28000
27.96,28000
28.09,38000
28.23,38000
28.36,38000
28.49,38000
28.63,38000
28.76,38000
28.90,38000
29.04,48000
29.17,48000
29.30,48000
29.43,48000
29.57,48000
29.70,48000
29.83,48000
29.97,48000
30.10,10000
30.23,10000
30.37,10000
30.50,10000
30.63,10000
30.77,10000
30.90,10000
31.04,20000
31.17,20000
31.30,20000
31.44,20000
31.57,20000
31.70,20000
31.84,20000
31.97,20000
32.11,30000
32.24,30000
32.37,30000
32.52,30000
32.65,30000
32.78,30000
32.91,30000
33.05,40000
33.19,40000
33.32,40000
33.46,40000
33.59,40000
33.72,40000
33.85,40000
33.99,40000
34.12,50000
34.25,50000
34.38,50000
34.52,50000
34.65,50000
34.78,50000
34.91,50000
35.05,10000
35.18,10000
35.31,10000
35.45,10000
35.58,10000
35.72,10000
35.85,10000
35.99,10000
36.13,20000
36.26,20000
36.40,20000
36.54,20000
36.67,20000
36.82,20000
36.97,20000
37.12,30000
37.25,30000
37.39,30000
37.53,30000
37.66,30000
37.80,30000
37.94,30000
38.07,40000
38.21,40000
38.34,40000
38.48,40000
38.62,40000
38.75,40000
38.89,40000
39.02,50000
39.16,50000
39.29,50000
39.43,50000
39.56,50000
39.69,50000
39.83,50000
39.96,50000
40.10,10000
40.23,10000
