elapsed,lag
5.02,30000
5.15,30000
5.28,30000
5.43,30000
5.58,30000
5.71,30000
5.85,30000
5.99,34000
6.13,40000
6.26,40000
6.41,40000
6.56,40000
6.70,40000
6.84,40000
6.99,41000
7.13,50000
7.27,50000
7.41,50000
7.54,50000
7.68,50000
7.81,50000
7.95,50000
8.08,60000
8.22,60000
8.36,60000
8.49,60000
8.63,60000
8.77,60000
8.91,60000
9.04,70000
9.17,70000
9.31,70000
9.44,70000
9.57,70000
9.71,70000
9.85,70000
9.98,70000
10.12,30000
10.25,30000
10.39,30000
10.53,30000
10.66,30000
10.80,30000
10.94,30000
11.08,40000
11.22,40000
11.37,40000
11.50,40000
11.64,40000
11.78,40000
11.91,40000
12.05,50000
12.19,50000
12.32,50000
12.46,50000
12.59,50000
12.73,50000
12.86,50000
12.99,51000
13.12,60000
13.27,60000
13.41,60000
13.55,60000
13.69,60000
13.84,60000
13.98,60000
14.11,70000
14.25,70000
14.39,70000
14.52,70000
14.66,70000
14.79,70000
14.93,70000
15.07,40000
15.20,40000
15.35,40000
15.49,40000
15.63,40000
15.76,40000
15.90,40000
16.04,50000
16.18,50000
16.32,50000
16.45,50000
16.60,50000
16.74,50000
16.88,50000
17.02,60000
17.16,60000
17.29,60000
17.43,60000
17.58,60000
17.72,60000
17.85,60000
17.99,62000
18.13,70000
18.26,70000
18.41,70000
18.55,70000
18.70,70000
18.83,70000
18.98,70000
19.12,80000
19.26,80000
19.40,80000
19.53,80000
19.67,80000
19.80,80000
19.93,80000
20.07,50000
20.20,50000
20.33,50000
20.46,50000
20.60,50000
20.73,50000
20.86,50000
21.00,54000
21.13,60000
21.26,60000
21.40,60000
21.53,60000
21.67,60000
21.81,60000
21.94,60000
22.09,70000
22.22,70000
22.35,70000
22.49,70000
22.62,70000
22.76,70000
22.89,70000
23.03,80000
23.16,80000
23.29,80000
23.43,80000
23.57,80000
23.71,80000
23.84,80000
23.98,80000
24.12,90000
24.25,90000
24.38,90000
24.51,90000
24.65,90000
24.78,90000
24.92,90000
25.06,50000
25.19,50000
25.33,50000
25.46,50000
25.59,50000
25.74,50000
25.87,50000
26.01,60000
26.14,60000
26.27,60000
26.40,60000
26.54,60000
26.68,60000
26.81,60000
26.94,60000
27.07,70000
27.21,70000
27.34,70000
27.47,70000
27.61,70000
27.74,70000
27.87,70000
28.01,80000
28.14,80000
28.28,80000
28.41,80000
28.55,80000
28.68,80000
28.82,80000
28.96,80000
29.10,90000
29.23,90000
29.37,90000
29.51,90000
29.65,90000
29.79,90000
29.93,90000
30.07,50000
30.21,50000
30.35,50000
30.49,50000
30.63,50000
30.77,50000
30.91,50000
31.05,60000
31.19,60000
31.34,60000
31.48,60000
31.62,60000
31.76,60000
31.90,60000
32.04,70000
32.19,70000
32.34,70000
32.48,70000
32.62,70000
32.76,70000
32.90,70000
33.04,80000
33.18,80000
33.32,80000
33.47,80000
33.61,80000
33.75,80000
33.89,80000
34.03,90000
34.17,90000
34.31,90000
34.45,90000
34.60,90000
34.74,90000
34.88,90000
35.03,70000
35.17,70000
35.31,70000
35.45,70000
35.59,70000
35.73,70000
35.87,70000
36.01,80000
36.15,80000
36.28,80000
36.43,80000
36.58,80000
36.71,80000
36.85,80000
36.99,84000
37.13,90000
37.27,90000
37.41,90000
37.55,90000
37.69,90000
37.84,90000
37.98,90000
38.12,100000
38.27,100000
38.41,100000
38.55,100000
38.69,100000
38.84,100000
39.00,110000
39.15,110000
39.29,110000
39.44,110000
39.59,110000
39.73,110000
39.88,110000
40.04,80000
40.18,80000
40.34,80000
40.51,80000
40.65,80000
40.80,80000
40.94,80000
41.08,90000
41.23,90000
41.37,90000
