elapsed,lag
0.10,20000
0.23,20000
0.37,20000
0.50,20000
0.64,20000
0.78,20000
0.93,20000
1.07,30000
1.22,30000
1.36,30000
1.51,30000
1.65,30000
1.80,30000
1.95,30000
2.09,40000
2.24,40000
2.38,40000
2.53,40000
2.69,40000
2.84,40000
2.99,46000
3.15,50000
3.30,50000
3.45,50000
3.61,50000
3.77,50000
3.92,50000
4.09,60000
4.26,60000
4.43,60000
4.60,60000
4.76,60000
4.92,60000
5.08,34056
5.24,34056
5.40,34056
5.56,34056
5.72,34056
5.88,34056
6.03,44056
6.20,44056
6.35,44056
6.50,44056
6.66,44056
6.81,44056
6.97,51056
7.14,54056
7.30,54056
7.46,54056
7.62,54056
7.79,54056
7.96,54056
8.12,64056
8.27,64056
8.43,64056
8.59,64056
8.75,64056
8.91,64056
9.07,74056
9.23,74056
9.39,74056
9.55,74056
9.70,74056
9.86,74056
10.02,58353
10.17,58353
10.33,58353
10.49,58353
10.65,58353
10.82,58353
10.98,63353
11.14,68353
11.31,68353
11.47,68353
11.62,68353
11.80,68353
11.96,68353
12.11,78353
12.27,78353
12.42,78353
12.58,78353
12.74,78353
12.92,78353
13.08,88353
13.24,88353
13.39,88353
13.55,88353
13.71,88353
13.87,88353
14.02,98353
14.18,98353
14.34,98353
14.49,98353
14.65,98353
14.81,98353
14.96,72566
15.12,82566
15.28,82566
15.43,82566
15.59,82566
15.75,82566
15.91,82566
16.06,92566
16.22,92566
16.38,92566
16.53,92566
16.69,92566
16.85,92566
17.01,102566
17.17,102566
17.33,102566
17.48,102566
17.64,102566
17.79,102566
17.96,102566
18.11,112566
18.27,112566
18.42,112566
18.58,112566
18.74,112566
18.89,112566
19.05,122566
19.20,122566
19.36,122566
19.52,122566
19.68,122566
19.84,122566
19.99,106352
20.15,106352
20.31,106352
20.47,106352
20.63,106352
20.79,106352
20.95,106352
21.11,116352
21.26,116352
21.42,116352
21.58,116352
21.74,116352
21.89,116352
22.05,126352
22.21,126352
22.37,126352
22.53,126352
22.68,126352
22.85,126352
23.00,136352
23.15,136352
23.31,136352
23.46,136352
23.61,136352
23.77,136352
23.93,136352
24.10,146352
24.27,146352
24.43,146352
24.60,146352
24.75,146352
24.91,146352
25.08,130573
25.24,130573
25.40,130573
25.56,130573
25.72,130573
25.87,130573
26.03,140573
26.19,140573
26.34,140573
26.52,140573
26.69,140573
26.85,140573
27.01,150573
27.17,150573
27.32,150573
27.48,150573
27.64,150573
27.80,150573
27.96,150573
28.11,160573
28.28,160573
28.43,160573
28.59,160573
28.75,160573
28.91,160573
29.07,170573
29.22,170573
29.38,170573
29.53,170573
29.70,170573
29.87,170573
30.03,154743
30.20,154743
30.36,154743
30.52,154743
30.68,154743
30.83,154743
30.99,161743
31.15,164743
31.30,164743
31.47,164743
31.63,164743
31.81,164743
31.99,173743
32.15,174743
32.31,174743
32.47,174743
32.62,174743
32.78,174743
32.94,174743
33.09,184743
33.25,184743
33.40,184743
33.56,184743
33.72,184743
33.87,184743
34.03,194743
34.18,194743
34.34,194743
34.50,194743
34.66,194743
34.82,194743
34.98,171140
35.13,179140
35.29,179140
35.44,179140
35.60,179140
35.75,179140
35.91,179140
36.07,189140
36.23,189140
36.38,189140
36.54,189140
36.70,189140
36.85,189140
37.01,199140
37.17,199140
37.32,199140
37.48,199140
37.63,199140
37.80,199140
37.96,199140
38.12,209140
38.27,209140
38.43,209140
38.59,209140
38.75,209140
38.90,209140
39.06,219140
39.22,219140
39.38,219140
39.54,219140
39.70,219140
39.85,219140
40.01,203251
40.17,203251
40.33,203251
40.49,203251
40.65,203251
40.82,203251
40.99,210251
41.14,213251
41.30,213251
41.45,213251
41.61,213251
41.77,213251
41.93,213251
42.09,223251
42.24,223251
42.40,223251
42.55,223251
42.70,223251
42.86,223251
43.02,233251
43.17,233251
43.33,233251
43.49,233251
43.65,233251
43.81,233251
43.98,236251
44.13,243251
44.29,243251
44.44,243251
44.60,243251
44.75,243251
44.91,243251
45.06,227029
45.22,227029
45.37,227029
45.52,227029
45.68,227029
45.83,227029
45.99,234029
46.14,237029
46.29,237029
46.45,237029
46.60,237029
46.76,237029
46.92,237029
47.07,247029
47.24,247029
47.39,247029
47.56,247029
47.71,247029
47.87,247029
48.03,257029
48.18,257029
48.34,257029
48.50,257029
48.66,257029
48.82,257029
48.98,267029
49.15,267029
49.31,267029
49.46,267029
49.62,267029
