elapsed,lag
0.10,4000
0.25,4000
0.40,4000
0.56,4000
0.71,4000
0.86,4000
1.02,6000
1.17,6000
1.32,6000
1.47,6000
1.62,6000
1.77,6000
1.94,6000
2.09,8000
2.25,8000
2.41,8000
2.56,8000
2.73,8000
2.89,8000
3.07,10000
3.24,10000
3.39,10000
3.56,10000
3.72,10000
3.88,10000
4.04,12000
4.19,12000
4.36,12000
4.52,12000
4.68,12000
4.83,12000
4.99,12000
5.14,1976
5.29,1976
5.45,1976
5.61,1976
5.78,1976
5.94,1976
6.10,3976
6.25,3976
6.41,3976
6.56,3976
6.72,3976
6.88,3976
7.04,5976
7.20,5976
7.38,5976
7.54,5976
7.70,5976
7.87,5976
8.02,7976
8.18,7976
8.33,7976
8.49,7976
8.66,7976
8.82,7976
8.98,7976
9.13,9976
9.29,9976
9.45,9976
9.60,9976
9.76,9976
9.92,9976
10.07,2000
10.23,2000
10.38,2000
10.56,2000
10.71,2000
10.87,2000
11.02,4000
11.18,4000
11.33,4000
11.48,4000
11.65,4000
11.80,4000
11.95,4000
12.10,6000
12.25,6000
12.41,6000
12.56,6000
12.70,6000
12.86,6000
13.01,8000
13.15,8000
13.30,8000
13.46,8000
13.61,8000
13.76,8000
13.91,8000
14.07,10000
14.22,10000
14.36,10000
14.51,10000
14.66,10000
14.82,10000
14.96,10000
15.12,2000
15.28,2000
15.43,2000
15.58,2000
15.74,2000
15.89,2000
16.03,4000
16.18,4000
16.33,4000
16.48,4000
16.63,4000
16.78,4000
16.94,4000
17.10,6000
17.25,6000
17.41,6000
17.57,6000
17.72,6000
17.89,6000
18.04,8000
18.20,8000
18.37,8000
18.54,8000
18.71,8000
18.87,8000
19.02,10000
19.19,10000
19.35,10000
19.51,10000
19.67,10000
19.86,10000
20.03,2000
20.19,2000
20.35,2000
20.52,2000
20.68,2000
20.84,2000
20.99,4000
21.15,4000
21.31,4000
21.46,4000
21.62,4000
21.78,4000
21.93,4000
22.09,6000
22.24,6000
22.40,6000
22.55,6000
22.72,6000
22.88,6000
23.04,8000
23.22,8000
23.39,8000
23.56,8000
23.71,8000
23.87,8000
24.03,10000
24.20,10000
24.36,10000
24.54,10000
24.69,10000
24.85,10000
25.00,2000
25.16,2000
25.32,2000
25.48,2000
25.64,2000
25.79,2000
25.95,2000
26.10,4000
26.25,4000
26.41,4000
26.57,4000
26.72,4000
26.88,4000
27.03,6000
27.18,6000
27.34,6000
27.51,6000
27.68,6000
27.84,6000
28.00,8000
28.16,8000
28.35,8000
28.52,8000
28.70,8000
28.86,8000
29.02,10000
29.18,10000
29.34,10000
29.50,10000
29.65,10000
29.81,10000
29.96,10000
30.12,1986
30.28,1986
30.44,1986
30.59,1986
30.75,1986
30.92,1986
31.07,3986
31.22,3986
31.39,3986
31.55,3986
31.70,3986
31.86,3986
32.01,5986
32.16,5986
32.33,5986
32.50,5986
32.65,5986
32.82,5986
32.97,5986
33.13,7986
33.28,7986
33.43,7986
33.58,7986
33.73,7986
33.89,7986
34.04,9986
34.20,9986
34.35,9986
34.50,9986
34.67,9986
34.82,9986
34.97,9986
35.12,1995
35.27,1995
35.42,1995
35.57,1995
35.72,1995
35.87,1995
36.02,3995
36.18,3995
36.34,3995
36.49,3995
36.64,3995
36.79,3995
36.94,3995
37.09,5995
37.24,5995
37.40,5995
37.55,5995
37.70,5995
37.85,5995
38.00,7995
38.15,7995
38.30,7995
38.45,7995
38.61,7995
38.76,7995
38.91,7995
39.06,9995
39.21,9995
39.37,9995
39.53,9995
39.68,9995
39.84,9995
40.01,1994
40.16,1994
40.31,1994
40.47,1994
40.63,1994
40.79,1994
40.94,1994
41.10,3994
41.25,3994
41.41,3994
41.58,3994
41.73,3994
41.89,3994
42.05,5994
42.20,5994
42.35,5994
42.53,5994
42.70,5994
42.86,5994
43.02,7994
43.17,7994
43.33,7994
43.48,7994
43.64,7994
43.81,7994
43.96,7994
44.13,9994
44.28,9994
44.44,9994
44.60,9994
44.75,9994
44.91,9994
45.06,1973
45.22,1973
45.39,1973
45.55,1973
45.71,1973
45.86,1973
46.03,3973
46.19,3973
46.35,3973
46.51,3973
46.67,3973
46.83,3973
47.00,5973
47.15,5973
47.32,5973
47.49,5973
47.65,5973
47.80,5973
47.97,5973
48.12,7973
48.27,7973
48.44,7973
48.59,7973
48.75,7973
48.90,7973
49.06,9973
49.21,9973
49.37,9973
49.54,9973
49.71,9973
49.87,9973
50.04,2000
50.20,2000
50.36,2000
50.51,2000
50.67,2000
50.82,2000
50.98,2000
51.13,4000
51.28,4000
51.44,4000
51.60,4000
51.76,4000
51.91,4000
52.07,6000
52.22,6000
52.38,6000
52.54,6000
52.70,6000
52.86,6000
53.01,8000
53.18,8000
53.33,8000
53.49,8000
53.65,8000
53.80,8000
53.98,8000
54.13,10000
54.29,10000
54.45,10000
54.60,10000
54.76,10000
54.91,10000
55.06,2000
55.21,2000
55.35,2000
55.50,2000
55.66,2000
55.81,2000
55.96,2000
56.10,4000
56.25,4000
56.41,4000
56.56,4000
56.71,4000
56.86,4000
57.01,6000
57.15,6000
57.30,6000
57.45,6000
57.60,6000
57.77,6000
57.92,6000
58.07,8000
58.22,8000
58.37,8000
58.52,8000
58.67,8000
58.82,8000
58.97,8000
59.12,10000
59.27,10000
59.42,10000
59.56,10000
59.71,10000
59.87,10000
60.02,1999
60.16,1999
60.31,1999
60.46,1999
60.62,1999
60.77,1999
60.92,1999
61.08,3999
61.23,3999
61.39,3999
61.55,3999
61.70,3999
61.86,3999
62.02,5999
62.18,5999
62.33,5999
62.49,5999
62.65,5999
62.82,5999
62.98,5999
63.13,7999
63.29,7999
63.44,7999
63.60,7999
63.76,7999
63.92,7999
64.08,9999
64.23,9999
64.39,9999
64.55,9999
64.71,9999
64.87,9999
65.03,2000
65.18,2000
65.35,2000
65.51,2000
65.66,2000
65.82,2000
65.99,4000
66.15,4000
66.30,4000
66.46,4000
66.62,4000
66.78,4000
66.94,4000
67.10,6000
67.26,6000
67.42,6000
67.60,6000
67.77,6000
67.93,6000
68.09,8000
68.25,8000
68.40,8000
68.56,8000
68.72,8000
68.88,8000
69.04,10000
69.20,10000
69.35,10000
69.52,10000
69.68,10000
69.84,10000
69.99,12000
70.15,1994
70.30,1994
70.46,1994
70.62,1994
70.78,1994
70.94,1994
71.10,3994
71.26,3994
71.41,3994
71.57,3994
71.72,3994
71.89,3994
72.05,5994
72.20,5994
72.36,5994
72.51,5994
72.67,5994
72.83,5994
72.98,5994
73.14,7994
73.29,7994
73.45,7994
73.60,7994
73.76,7994
73.92,7994
74.07,9994
74.22,9994
74.38,9994
74.54,9994
74.70,9994
74.85,9994
75.01,1932
75.16,1932
75.32,1932
75.48,1932
75.64,1932
75.79,1932
75.95,1932
76.10,3932
76.25,3932
76.41,3932
76.57,3932
76.72,3932
76.87,3932
77.02,5932
77.18,5932
77.33,5932
77.48,5932
77.63,5932
77.78,5932
77.93,5932
78.08,7932
78.23,7932
78.38,7932
78.53,7932
78.69,7932
78.84,7932
78.99,7932
79.14,9932
79.29,9932
79.44,9932
79.59,9932
79.75,9932
79.90,9932
80.05,1988
80.21,1988
80.36,1988
80.51,1988
80.66,1988
80.81,1988
80.96,1988
81.11,3988
81.26,3988
81.41,3988
81.57,3988
81.72,3988
81.87,3988
82.02,5988
