elapsed,lag
0.67,-1
0.82,-1
0.96,-1
1.40,3000
1.55,3000
1.69,3000
1.84,3000
1.99,3000
2.14,3000
2.29,3000
2.44,5000
2.60,5000
2.75,5000
2.91,5000
3.07,5000
3.23,5000
3.38,7000
3.53,7000
3.69,7000
3.85,7000
4.01,7000
4.16,7000
4.31,7000
4.47,9000
4.62,9000
4.79,9000
4.95,9000
5.10,9000
5.25,9000
5.42,2000
5.59,2000
5.75,2000
5.91,2000
6.07,2000
6.22,2000
6.38,4000
6.54,4000
6.71,4000
6.86,4000
7.01,4000
7.17,4000
7.32,4000
7.49,6000
7.64,6000
7.80,6000
7.95,6000
8.11,6000
8.28,6000
8.43,8000
8.59,8000
8.75,8000
8.90,8000
9.05,8000
9.20,8000
9.34,10000
9.49,10000
9.65,10000
9.80,10000
9.95,10000
10.10,10000
10.25,10000
10.40,2000
10.55,2000
10.71,2000
10.86,2000
11.01,2000
11.16,2000
11.31,2000
11.46,4000
11.60,4000
11.75,4000
11.90,4000
12.05,4000
12.20,4000
12.36,6000
12.50,6000
12.65,6000
12.80,6000
12.95,6000
13.10,6000
13.25,6000
13.40,8000
13.54,8000
13.70,8000
13.84,8000
13.99,8000
14.14,8000
14.29,8000
14.44,10000
14.59,10000
14.74,10000
14.89,10000
15.06,10000
15.24,10000
15.39,2000
15.54,2000
15.70,2000
15.85,2000
16.00,2000
16.15,2000
16.31,2000
16.46,4000
16.62,4000
16.77,4000
16.94,4000
17.09,4000
17.25,4000
17.40,6000
17.57,6000
17.72,6000
17.88,6000
18.03,6000
18.19,6000
18.35,8000
18.52,8000
18.69,8000
18.85,8000
19.01,8000
19.18,8000
19.35,10000
19.50,10000
19.67,10000
19.83,10000
19.98,10000
20.14,10000
20.30,10000
20.46,2000
20.62,2000
20.77,2000
20.93,2000
21.10,2000
21.26,2000
21.41,4000
21.57,4000
21.72,4000
21.88,4000
22.03,4000
22.19,4000
22.35,6000
22.50,6000
22.65,6000
22.81,6000
22.96,6000
23.11,6000
23.26,6000
23.42,8000
23.57,8000
23.73,8000
23.88,8000
24.05,8000
24.20,8000
24.36,10000
24.51,10000
24.66,10000
24.82,10000
24.96,10000
25.11,10000
25.26,10000
25.42,2000
25.58,2000
25.74,2000
25.90,2000
26.07,2000
26.24,2000
26.42,4000
26.58,4000
26.73,4000
26.90,4000
27.07,4000
27.23,4000
27.39,6000
27.54,6000
27.70,6000
27.86,6000
28.02,6000
28.18,6000
28.34,8000
28.49,8000
28.64,8000
28.80,8000
28.95,8000
29.11,8000
29.26,8000
29.41,10000
29.57,10000
29.72,10000
29.88,10000
30.04,10000
30.19,10000
30.35,2000
30.50,2000
30.67,2000
30.82,2000
30.97,2000
31.13,2000
31.28,2000
31.43,4000
31.60,4000
31.75,4000
31.91,4000
32.06,4000
32.21,4000
32.36,6000
32.51,6000
32.66,6000
32.81,6000
32.96,6000
33.11,6000
33.25,6000
33.40,8000
33.55,8000
33.70,8000
33.85,8000
34.00,8000
34.14,8000
34.29,8000
34.44,10000
34.59,10000
34.73,10000
34.88,10000
35.03,10000
35.18,10000
35.33,10000
35.48,2000
35.63,2000
35.78,2000
35.92,2000
36.07,2000
36.23,2000
36.38,4000
36.53,4000
36.69,4000
36.84,4000
37.00,4000
37.15,4000
37.30,4000
37.46,6000
37.62,6000
37.77,6000
37.92,6000
38.08,6000
38.24,6000
38.39,8000
38.54,8000
38.71,8000
38.88,8000
39.03,8000
39.18,8000
39.33,9000
39.49,10000
39.65,10000
39.80,10000
39.96,10000
40.11,10000
40.26,10000
40.42,2000
40.58,2000
40.75,2000
40.90,2000
41.05,2000
41.20,2000
41.36,4000
41.51,4000
41.67,4000
41.83,4000
41.99,4000
42.14,4000
42.30,4000
42.45,6000
42.61,6000
42.79,6000
42.94,6000
43.10,6000
43.26,6000
43.41,8000
43.57,8000
43.72,8000
43.87,8000
44.04,8000
44.19,8000
44.35,10000
44.50,10000
44.65,10000
44.81,10000
44.96,10000
45.12,10000
45.28,10000
45.45,2000
45.60,2000
45.75,2000
45.91,2000
46.06,2000
46.21,2000
46.36,4000
46.52,4000
46.67,4000
46.82,4000
46.98,4000
47.13,4000
47.28,4000
47.44,6000
47.59,6000
47.74,6000
47.89,6000
48.04,6000
48.20,6000
48.36,8000
48.51,8000
48.67,8000
48.82,8000
48.98,8000
49.13,8000
49.29,8000
49.44,10000
49.61,10000
49.77,10000
49.92,10000
50.08,10000
50.23,10000
50.39,2000
50.54,2000
50.69,2000
50.84,2000
50.99,2000
51.14,2000
51.30,2000
51.45,4000
51.60,4000
51.76,4000
51.91,4000
52.06,4000
52.21,4000
52.36,6000
52.51,6000
52.66,6000
52.81,6000
52.95,6000
53.10,6000
53.25,6000
53.40,8000
53.55,8000
53.69,8000
53.84,8000
53.99,8000
54.14,8000
54.28,8000
54.43,10000
54.58,10000
54.73,10000
54.88,10000
55.02,10000
55.17,10000
55.32,10000
55.47,2000
55.62,2000
55.77,2000
55.93,2000
56.08,2000
56.23,2000
56.38,4000
56.54,4000
56.70,4000
56.86,4000
57.02,4000
57.18,4000
57.33,6000
57.48,6000
57.64,6000
57.79,6000
57.96,6000
58.11,6000
58.27,6000
58.42,8000
58.58,8000
58.74,8000
58.90,8000
59.06,8000
59.22,8000
59.39,10000
59.55,10000
59.70,10000
59.87,10000
60.04,10000
60.20,10000
60.36,2000
60.51,2000
60.67,2000
60.84,2000
60.99,2000
61.15,2000
61.30,2000
61.45,4000
61.60,4000
61.76,4000
61.91,4000
62.06,4000
62.21,4000
62.38,6000
62.54,6000
62.70,6000
62.86,6000
63.01,6000
63.19,6000
63.34,8000
63.49,8000
63.65,8000
63.80,8000
63.95,8000
64.10,8000
