elapsed,lag
0.37,10000
0.50,10000
0.64,10000
0.77,10000
0.90,10000
1.04,20000
1.17,20000
1.31,20000
1.44,20000
1.57,20000
1.71,20000
1.84,20000
1.98,20000
2.11,30000
2.24,30000
2.38,30000
2.51,30000
2.65,30000
2.78,30000
2.93,30000
3.06,40000
3.20,40000
3.33,40000
3.47,40000
3.60,40000
3.74,40000
3.88,40000
4.01,50000
4.14,50000
4.28,50000
4.41,50000
4.55,50000
4.68,50000
4.82,50000
4.96,50000
5.09,60000
5.23,60000
5.37,0
5.51,0
5.64,0
5.78,0
5.94,0
6.07,10000
6.21,10000
6.35,10000
6.49,10000
6.63,10000
6.77,10000
6.91,10000
7.06,20000
7.20,20000
7.34,20000
7.47,20000
7.61,20000
7.76,20000
7.89,20000
8.03,30000
8.17,30000
8.31,30000
8.45,30000
8.58,30000
8.72,30000
8.86,30000
8.99,30000
9.13,40000
9.26,40000
9.40,40000
9.53,40000
9.66,40000
9.80,40000
9.94,40000
10.07,50000
10.21,50000
10.34,50000
10.48,0
10.61,0
10.75,0
10.88,0
11.02,10000
11.15,10000
11.29,10000
11.43,10000
11.56,10000
11.70,10000
11.83,10000
11.97,10000
12.10,20000
12.24,20000
12.39,20000
12.52,20000
12.66,20000
12.79,20000
12.93,20000
13.07,30000
13.20,30000
13.34,30000
13.47,30000
13.60,30000
13.74,30000
13.87,30000
14.01,38000
14.14,40000
14.27,40000
14.41,40000
14.54,40000
14.68,40000
14.81,40000
14.94,40000
15.08,50000
15.22,50000
15.35,0
15.48,0
15.62,0
15.76,0
15.89,0
16.02,10000
16.16,10000
16.30,10000
16.44,10000
16.57,10000
16.71,10000
16.85,10000
16.98,17000
17.13,20000
17.27,20000
17.40,20000
17.55,20000
17.68,20000
17.82,20000
17.96,20000
18.11,30000
18.26,30000
18.41,30000
18.57,30000
18.72,30000
18.88,30000
19.05,40000
19.21,40000
19.37,40000
19.53,40000
19.72,40000
19.90,40000
20.07,50000
20.24,50000
20.41,5500
20.58,5500
20.76,5500
20.93,5500
21.11,15500
21.29,15500
21.46,15500
21.62,15500
21.80,15500
21.98,23500
22.15,25500
22.33,25500
22.52,25500
22.69,25500
22.86,25500
23.03,35500
23.19,35500
23.35,35500
23.52,35500
23.69,35500
23.86,35500
24.03,45500
24.20,45500
24.37,45500
24.54,45500
24.72,45500
24.88,45500
25.05,55500
25.21,55500
25.37,5000
25.55,5000
25.73,5000
25.90,5000
26.07,15000
26.22,15000
26.39,15000
26.55,15000
26.71,15000
26.87,15000
27.03,25000
27.20,25000
27.36,25000
27.52,25000
27.68,25000
27.84,25000
28.00,35000
28.16,35000
28.33,35000
28.51,35000
28.67,35000
28.83,35000
28.98,38000
29.14,45000
29.29,45000
29.45,45000
29.61,45000
29.77,45000
29.94,45000
30.09,55000
30.27,55000
30.42,3000
30.59,3000
30.74,3000
30.90,3000
31.05,13000
31.21,13000
31.37,13000
31.52,13000
31.68,13000
31.84,13000
31.99,19000
32.14,23000
32.30,23000
32.46,23000
32.62,23000
32.79,23000
32.95,23000
33.11,33000
33.27,33000
33.45,33000
33.64,33000
33.81,33000
33.98,41000
34.16,43000
34.33,43000
34.49,43000
34.68,43000
34.84,43000
35.00,53000
35.17,53000
35.33,53000
35.50,4000
35.66,4000
35.82,4000
35.98,14000
36.16,14000
36.32,14000
36.49,14000
36.66,14000
36.82,14000
37.00,23000
37.16,24000
37.32,24000
37.48,24000
37.66,24000
37.83,24000
37.99,31000
38.15,34000
38.30,34000
38.47,34000
38.62,34000
38.79,34000
38.95,34000
39.11,44000
39.27,44000
39.43,44000
39.59,44000
39.75,44000
39.91,44000
40.07,54000
40.24,54000
40.40,54000
40.57,2500
40.73,2500
40.89,2500
41.05,12500
41.21,12500
41.36,12500
41.54,12500
41.72,12500
41.88,12500
42.03,22500
42.18,22500
42.33,22500
42.49,22500
42.64,22500
42.79,22500
42.94,22500
43.12,32500
43.27,32500
43.43,32500
43.59,32500
43.74,32500
43.90,32500
44.06,42500
44.21,42500
44.38,42500
44.53,42500
44.69,42500
44.84,42500
45.00,51500
45.15,52500
45.32,52500
45.47,2500
45.63,2500
45.78,2500
45.93,2500
46.09,12500
46.24,12500
46.39,12500
46.54,12500
46.69,12500
46.85,12500
47.00,20500
47.15,22500
47.30,22500
47.46,22500
47.61,22500
47.78,22500
47.96,22500
48.12,32500
48.29,32500
48.48,32500
48.65,32500
48.84,32500
49.00,42500
49.16,42500
49.32,42500
49.49,42500
49.65,42500
49.81,42500
49.97,47500
50.14,52500
50.31,52500
50.47,3000
50.64,3000
50.82,3000
50.99,12000
51.15,13000
51.34,13000
51.50,13000
51.67,13000
51.85,13000
52.01,23000
52.16,23000
52.32,23000
52.48,23000
52.65,23000
52.81,23000
52.97,23000
53.13,33000
53.29,33000
53.46,33000
53.62,33000
53.78,33000
53.94,33000
54.10,43000
54.26,43000
54.41,43000
54.58,43000
54.75,43000
54.91,43000
55.07,53000
55.23,53000
55.38,53000
55.55,3000
55.71,3000
55.88,3000
56.05,13000
56.23,13000
56.39,13000
56.56,13000
56.74,13000
56.91,13000
57.08,23000
57.25,23000
57.41,23000
57.56,23000
57.72,23000
57.88,23000
58.05,33000
58.21,33000
58.37,33000
58.55,33000
58.70,33000
58.85,33000
59.02,43000
59.18,43000
59.33,43000
59.49,43000
59.64,43000
59.80,43000
59.96,43000
60.12,53000
60.27,53000
60.44,53000
60.59,500
60.74,500
60.91,500
61.06,10500
61.21,10500
61.36,10500
61.51,10500
61.66,10500
61.83,10500
61.98,12500
62.13,20500
62.28,20500
62.44,20500
62.59,20500
62.74,20500
62.89,20500
63.05,30500
63.20,30500
63.37,30500
63.53,30500
63.69,30500
63.86,30500
64.03,40500
64.19,40500
64.37,40500
64.54,40500
64.70,40500
64.86,40500
65.02,50500
65.18,50500
65.34,50500
65.51,50500
65.66,1500
65.85,1500
66.03,11500
66.20,11500
66.38,11500
66.57,11500
66.75,11500
66.94,11500
67.13,21500
67.30,21500
67.48,21500
67.65,21500
67.83,21500
68.02,31500
68.19,31500
68.35,31500
68.51,31500
68.66,31500
68.84,31500
69.00,41500
69.16,41500
69.31,41500
69.48,41500
69.66,41500
69.82,41500
69.99,50500
70.15,51500
70.31,51500
70.47,51500
70.63,1000
70.80,1000
70.96,1000
71.12,11000
71.30,11000
71.45,11000
71.62,11000
71.78,11000
71.93,11000
72.09,21000
72.24,21000
72.41,21000
72.57,21000
72.73,31000
73.39,31000
73.55,31000
73.72,31000
73.88,31000
74.04,41000
74.19,41000
74.35,41000
74.50,41000
74.66,41000
74.82,41000
74.97,41000
75.12,51000
75.28,51000
75.44,51000
75.61,0
75.76,0
75.91,0
76.07,10000
76.22,10000
76.38,10000
76.54,10000
76.70,10000
76.87,10000
77.02,20000
77.18,20000
77.34,20000
77.50,20000
77.66,20000
77.82,20000
78.01,30000
78.17,30000
78.33,30000
78.50,30000
78.67,30000
78.84,30000
79.00,40000
79.16,40000
79.32,40000
79.48,40000
79.66,40000
79.84,40000
80.00,50000
80.17,50000
80.33,50000
80.49,50000
80.66,1000
80.82,1000
80.98,3000
81.14,11000
81.30,11000
81.46,11000
81.61,11000
81.78,11000
81.94,11000
82.10,21000
82.27,21000
82.44,21000
82.60,21000
82.77,21000
82.93,21000
83.09,31000
83.25,31000
83.42,31000
83.59,31000
83.75,31000
83.93,31000
84.08,41000
84.25,41000
84.41,41000
84.57,41000
84.73,41000
84.90,41000
85.05,51000
85.22,51000
85.38,51000
85.54,51000
85.70,500
85.87,500
86.03,10500
86.19,10500
86.36,10500
86.53,10500
86.70,10500
86.86,10500
87.01,20500
