epoch,lag
28,26751
29,26964
30,28309
31,29654
32,29751
33,29751
34,29751
35,29751
36,29751
37,22516
38,23774
39,24277
40,24277
41,24277
42,24277
43,24277
44,24935
45,26251
46,27277
47,27277
48,27277
49,27277
50,27277
51,27479
52,28734
53,29992
54,30277
55,30277
56,30277
57,30277
58,30277
59,31316
60,32660
61,33277
62,33277
63,33277
64,33277
65,33277
66,33687
67,34910
68,36211
69,36277
70,36277
71,36277
72,36277
73,36277
74,1214
75,2520
76,3000
77,3000
78,3000
79,3000
80,3000
81,3787
82,5132
83,6000
84,6000
85,6000
86,6000
87,6000
88,6205
89,7470
90,8671
91,9000
92,9000
93,9000
94,9000
95,9000
96,9906
97,11221
98,12000
99,12000
100,12000
101,12000
102,12000
103,12333
104,13555
105,14891
106,15000
107,15000
108,15000
109,15000
110,15000
111,1088
112,2410
113,3000
114,3000
115,3000
116,3000
117,3000
118,3553
119,4835
120,6000
121,6000
122,6000
123,6000
124,6000
125,6167
126,7474
127,8771
128,9000
129,9000
130,9000
131,9000
132,9000
133,9947
134,11180
135,12000
136,12000
137,12000
138,12000
139,12000
140,12336
141,13617
142,14894
143,15000
144,15000
145,15000
146,15000
147,15000
148,963
149,2280
150,2988
151,2988
152,2988
153,2988
154,2988
155,3614
156,4902
157,5988
158,5988
159,5988
160,5988
161,5988
162,6173
163,7520
164,8722
165,8988
166,8988
167,8988
168,8988
169,8988
170,9917
171,11219
172,11988
173,11988
174,11988
175,11988
176,11988
177,12573
178,13808
179,14988
180,14988
181,14988
182,14988
183,14988
184,228
185,1548
186,2827
187,3000
188,3000
189,3000
190,3000
191,3000
192,3996
193,5280
194,6000
195,6000
196,6000
197,6000
198,6000
199,6339
200,7570
201,8868
202,9000
203,9000
204,9000
205,9000
206,9000
207,10163
208,11430
209,12000
210,12000
211,12000
212,12000
213,12000
214,12593
215,13824
216,15000
217,15000
218,15000
219,15000
220,15000
221,60
222,1361
223,2558
224,3000
225,3000
226,3000
227,3000
228,3000
229,3946
230,5225
231,6000
232,6000
233,6000
234,6000
235,6000
236,6401
237,7620
238,9000
239,9000
240,9000
241,9000
242,9000
243,9000
244,10210
245,11502
246,12000
247,12000
248,12000
249,12000
250,12000
251,12485
252,13770
253,15000
254,15000
255,15000
256,15000
257,15000
258,15000
259,1160
260,2437
261,2982
262,2982
263,2982
264,2982
265,2982
266,3538
267,4773
268,5982
269,5982
270,5982
271,5982
272,5982
273,6051
274,7229
275,8497
276,8982
277,8982
278,8982
279,8982
280,8982
281,9470
282,10583
283,11664
284,11982
285,11982
286,11982
287,11982
288,12739
289,13733
290,14723
291,14982
292,14982
293,14982
294,14982
295,821
296,1781
297,2763
298,2999
299,2999
300,2999
301,3161
302,4204
303,5243
304,5999
305,5999
306,5999
307,5999
308,6311
309,7270
310,8228
311,8999
312,8999
313,8999
314,8999
315,9401
316,10470
317,11438
318,11999
319,11999
320,11999
321,11999
322,12675
323,13627
324,14601
325,14999
326,14999
327,14999
328,14999
329,794
330,1750
331,2715
332,2990
333,2990
334,2990
335,3114
336,4116
337,5015
338,5957
339,5990
340,5990
341,5990
342,6331
343,7338
344,8340
345,8990
346,8990
347,8990
348,8990
349,9487
350,10512
351,11459
352,11990
353,11990
354,11990
355,11990
356,12917
357,13892
358,14828
359,14990
360,14990
361,14990
362,222
363,1193
364,2223
365,3000
366,3000
367,3000
368,3000
369,3245
370,4290
371,5359
372,6000
373,6000
374,6000
375,6000
376,6243
377,7369
378,8491
379,9000
380,9000
381,9000
382,9000
383,9094
384,10193
385,11227
386,12000
387,12000
388,12000
389,12000
390,12000
391,13088
392,14164
393,15000
394,15000
395,15000
396,15000
397,15000
398,829
399,1871
400,2948
401,2989
402,2989
403,2989
404,2989
405,4035
406,5090
407,5989
408,5989
409,5989
410,5989
411,5989
412,6825
413,7879
414,8952
415,8989
416,8989
417,8989
418,8989
419,9568
420,10578
421,11639
422,11989
423,11989
424,11989
425,11989
426,12726
427,13832
428,14960
429,14989
430,14989
431,14989
432,14989
433,600
434,1704
435,2726
436,2999
437,2999
438,2999
439,2999
440,3756
441,4814
442,5878
443,5999
444,5999
445,5999
446,5999
447,6483
448,7616
449,8727
450,8999
451,8999
452,8999
453,8999
454,9537
455,10635
456,11699
457,11999
458,11999
459,11999
460,11999
461,12429
462,13506
463,14630
464,14999
465,14999
466,14999
467,14999
468,383
469,1485
470,2583
471,3000
472,3000
473,3000
474,3000
475,3462
476,4611
477,5686
478,6000
479,6000
480,6000
481,6000
482,6616
483,7704
484,8740
485,9000
486,9000
487,9000
488,9000
489,9553
490,10689
491,11770
492,12000
493,12000
494,12000
495,12000
496,12481
497,13602
498,14655
499,15000
500,15000
501,15000
502,15000
503,540
504,1616
505,2702
506,2999
507,2999
508,2999
509,2999
510,3456
511,4560
512,5734
513,5999
514,5999
515,5999
516,5999
517,6506
518,7506
519,8541
520,8999
521,8999
522,8999
523,8999
524,9393
525,10464
526,11526
527,11999
528,11999
529,11999
530,11999
531,12359
532,13430
533,14448
534,14999
535,14999
536,14999
537,14999
538,247
539,1351
540,2422
541,2988
542,2988
543,2988
544,2988
545,3121
546,4272
547,5229
548,5988
549,5988
550,5988
551,5988
552,6095
553,7201
554,8030
555,8988
556,8988
557,8988
558,8988
559,9337
560,10387
561,11481
562,11988
563,11988
564,11988
565,11988
566,12269
567,13347
568,14439
569,14988
570,14988
571,14988
572,14988
573,235
574,1408
575,2527
576,2972
577,2972
578,2972
579,2972
580,3239
581,4259
582,5297
583,5972
584,5972
585,5972
586,5972
587,6331
588,7398
589,8402
590,8972
591,8972
592,8972
593,8972
594,9446
595,10519
596,11503
597,11972
598,11972
599,11972
