elapsed,lag
5.14,41190
5.30,41190
5.46,41190
5.62,41190
5.78,41190
5.94,41190
6.09,51190
6.26,51190
6.42,51190
6.58,51190
6.74,51190
6.90,51190
7.06,61190
7.22,61190
7.38,61190
7.54,61190
7.71,61190
7.88,61190
8.05,71190
8.22,71190
8.40,71190
8.56,71190
8.74,71190
8.91,71190
9.07,81190
9.24,81190
9.41,81190
9.58,81190
9.75,81190
9.91,81190
10.07,69789
10.25,69789
10.42,69789
10.61,69789
10.77,69789
10.96,69789
11.12,79789
11.30,79789
11.47,79789
11.64,79789
11.80,79789
11.97,84789
12.15,89789
12.31,89789
12.49,89789
12.66,89789
12.82,89789
12.99,95789
13.15,99789
13.33,99789
13.50,99789
13.67,99789
13.84,99789
14.02,109789
14.19,109789
14.36,109789
14.54,109789
14.72,109789
14.88,109789
15.04,100275
15.20,100275
15.36,100275
15.54,100275
15.70,100275
15.86,100275
16.02,110275
16.20,110275
16.36,110275
16.52,110275
16.69,110275
16.86,110275
17.02,120275
17.18,120275
17.35,120275
17.50,120275
17.66,120275
17.83,120275
17.99,128275
18.15,130275
18.32,130275
18.49,130275
18.66,130275
18.83,130275
19.00,140275
19.16,140275
19.33,140275
19.49,140275
19.65,140275
19.84,140275
20.00,129424
20.16,129424
20.32,129424
20.48,129424
20.64,129424
20.80,129424
20.97,129424
21.13,139424
21.29,139424
21.45,139424
21.61,139424
21.78,139424
21.95,139424
22.11,149424
22.27,149424
22.43,149424
22.58,149424
22.74,149424
22.89,149424
23.05,159424
23.21,159424
23.37,159424
23.54,159424
23.73,159424
23.90,159424
24.06,169424
24.25,169424
24.42,169424
24.59,169424
24.75,169424
24.92,169424
25.09,158143
25.25,158143
25.42,158143
25.60,158143
25.76,158143
25.93,158143
26.10,168143
26.27,168143
26.43,168143
26.59,168143
26.76,168143
26.92,168143
27.09,178143
27.25,178143
27.41,178143
27.59,178143
27.75,178143
27.91,178143
28.08,188143
28.24,188143
28.40,188143
28.57,188143
28.74,188143
28.90,188143
29.07,198143
29.24,198143
29.41,198143
29.58,198143
29.75,198143
29.91,198143
30.08,188161
30.26,188161
30.43,188161
30.60,188161
30.78,188161
30.94,188161
31.11,198161
31.27,198161
31.44,198161
31.60,198161
31.77,198161
31.93,198161
32.10,208161
32.26,208161
32.42,208161
32.58,208161
32.74,208161
32.90,208161
33.07,218161
33.24,218161
33.41,218161
33.56,218161
33.73,218161
33.89,218161
34.05,228161
34.20,228161
34.36,228161
34.51,228161
34.68,228161
34.83,228161
34.99,235161
35.15,216995
35.30,216995
35.45,216995
35.61,216995
35.78,216995
35.93,216995
36.11,226995
36.27,226995
36.43,226995
36.59,226995
36.76,226995
36.92,226995
37.08,236995
37.25,236995
37.41,236995
37.57,236995
37.75,236995
37.91,236995
38.07,246995
38.24,246995
38.41,246995
38.56,246995
38.72,246995
38.88,246995
39.03,256995
39.19,256995
39.35,256995
39.51,256995
39.68,256995
39.84,256995
40.00,244114
40.16,244114
40.33,244114
40.50,244114
40.66,244114
40.84,244114
41.01,254114
41.17,254114
41.34,254114
41.51,254114
41.67,254114
41.84,254114
42.00,264114
42.17,264114
42.33,264114
42.50,264114
42.68,264114
42.85,264114
43.02,274114
43.18,274114
43.35,274114
43.51,274114
43.68,274114
43.85,274114
44.03,284114
44.21,284114
44.37,284114
44.54,284114
44.71,284114
44.89,284114
45.05,274135
45.23,274135
45.39,274135
45.57,274135
45.76,274135
45.93,274135
46.10,284135
46.28,284135
46.45,284135
46.61,284135
46.78,284135
46.95,284135
47.13,294135
47.29,294135
47.47,294135
47.65,294135
47.81,294135
47.97,303135
48.16,304135
48.32,304135
48.49,304135
48.65,304135
48.82,304135
48.99,314135
49.17,314135
49.33,314135
49.50,314135
49.66,314135
49.83,314135
49.99,324135
50.16,304082
50.32,304082
50.48,304082
50.64,304082
50.80,304082
50.95,304082
51.13,314082
51.30,314082
51.47,314082
51.63,314082
51.79,314082
51.94,314082
52.11,324082
52.26,324082
52.42,324082
52.57,324082
52.73,324082
52.89,324082
53.04,334082
53.20,334082
53.36,334082
53.53,334082
53.69,334082
53.84,334082
54.00,344082
54.16,344082
54.32,344082
54.47,344082
54.63,344082
54.79,344082
54.94,344082
55.09,331240
55.25,331240
55.43,331240
55.59,331240
55.75,331240
55.93,331240
56.10,341240
56.27,341240
56.44,341240
56.60,341240
56.79,341240
56.97,346240
57.15,351240
57.32,351240
57.50,351240
57.66,351240
57.83,351240
58.02,361240
58.20,361240
58.37,361240
58.53,361240
58.70,361240
58.86,361240
59.05,371240
59.21,371240
59.38,371240
59.54,371240
59.71,371240
59.87,371240
60.05,361971
60.21,361971
60.39,361971
60.56,361971
60.72,361971
60.88,361971
61.05,371971
61.23,371971
61.39,371971
61.56,371971
61.74,371971
61.91,371971
62.10,381971
62.28,381971
62.46,381971
62.64,381971
62.81,381971
62.99,391971
63.17,391971
63.33,391971
63.51,391971
63.69,391971
63.86,391971
64.03,401971
64.20,401971
64.37,401971
64.53,401971
64.71,401971
64.88,401971
65.05,393643
65.21,393643
65.37,393643
65.54,393643
65.70,393643
65.86,393643
66.03,403643
66.19,403643
66.35,403643
66.51,403643
66.68,403643
