epoch,lag
0.10,10000
0.24,10000
0.40,10000
0.55,10000
0.69,10000
0.84,10000
0.99,10000
1.13,20000
1.27,20000
1.41,20000
1.54,20000
1.68,20000
1.81,20000
1.95,20000
2.09,30000
2.22,30000
2.36,30000
2.52,30000
2.66,30000
2.81,30000
2.96,30000
3.10,40000
3.24,40000
3.39,40000
3.53,40000
3.67,40000
3.81,40000
3.95,40000
4.09,50000
4.24,50000
4.39,50000
4.54,50000
4.68,50000
4.82,50000
4.98,23986
5.14,27986
5.28,27986
5.44,27986
5.58,27986
5.72,27986
5.87,27986
6.01,37986
6.16,37986
6.30,37986
6.45,37986
6.59,37986
6.75,37986
6.89,37986
7.04,47986
7.20,47986
7.35,47986
7.50,47986
7.65,47986
7.79,47986
7.95,47986
8.10,57986
8.25,57986
8.41,57986
8.56,57986
8.71,57986
8.88,57986
9.03,67986
9.17,67986
9.32,67986
9.46,67986
9.60,67986
9.75,67986
9.89,67986
10.03,44235
10.18,44235
10.32,44235
10.47,44235
10.62,44235
10.76,44235
10.91,44235
11.05,54235
11.20,54235
11.34,54235
11.48,54235
11.62,54235
11.78,54235
11.92,54235
12.07,64235
12.21,64235
12.36,64235
12.50,64235
12.64,64235
12.80,64235
12.95,64235
13.09,74235
13.24,74235
13.38,74235
13.52,74235
13.66,74235
13.80,74235
13.96,74235
14.10,84235
14.25,84235
14.39,84235
14.54,84235
14.68,84235
14.82,84235
14.97,84235
15.11,58477
15.25,58477
15.41,58477
15.55,58477
15.70,58477
15.84,58477
15.99,65477
16.14,68477
16.28,68477
16.43,68477
16.57,68477
16.72,68477
16.86,68477
17.01,78477
17.16,78477
17.30,78477
17.45,78477
17.59,78477
17.73,78477
17.88,78477
18.02,88477
18.16,88477
18.31,88477
18.45,88477
18.59,88477
18.74,88477
18.89,88477
19.03,98477
19.17,98477
19.33,98477
19.47,98477
19.61,98477
19.76,98477
19.90,98477
20.04,74353
20.18,74353
20.33,74353
20.47,74353
20.61,74353
20.75,74353
20.90,74353
21.04,84353
21.19,84353
21.33,84353
21.48,84353
21.62,84353
21.76,84353
21.91,84353
22.05,94353
22.19,94353
22.34,94353
22.49,94353
22.63,94353
22.77,94353
22.92,94353
23.06,104353
23.21,104353
23.35,104353
23.50,104353
23.65,104353
23.80,104353
23.94,104353
24.09,114353
24.23,114353
24.38,114353
24.52,114353
24.67,114353
24.82,114353
24.97,114353
25.11,89996
25.25,89996
25.41,89996
25.55,89996
25.69,89996
25.84,89996
25.98,89996
26.12,99996
26.26,99996
26.41,99996
26.55,99996
26.70,99996
26.84,99996
26.99,101996
27.13,109996
27.27,109996
27.42,109996
27.56,109996
27.70,109996
27.84,109996
27.99,117996
28.14,119996
28.29,119996
28.43,119996
28.57,119996
28.72,119996
28.86,119996
29.01,129996
29.16,129996
29.31,129996
29.45,129996
29.59,129996
29.73,129996
29.87,129996
30.02,104369
30.16,104369
30.30,104369
30.44,104369
30.58,104369
30.72,104369
30.87,104369
31.01,114369
31.15,114369
31.29,114369
31.45,114369
31.59,114369
31.75,114369
31.90,114369
32.05,124369
32.19,124369
32.34,124369
32.48,124369
32.63,124369
32.77,124369
32.92,124369
33.07,134369
33.22,134369
33.37,134369
33.52,134369
33.66,134369
33.81,134369
33.95,134369
34.09,144369
34.24,144369
34.38,144369
34.54,144369
34.68,144369
34.82,144369
34.96,144369
35.11,120183
35.25,120183
35.40,120183
35.55,120183
35.69,120183
35.84,120183
35.98,122183
36.13,130183
36.27,130183
36.41,130183
36.56,130183
36.70,130183
36.84,130183
36.99,135183
37.13,140183
37.28,140183
37.42,140183
37.57,140183
37.71,140183
37.85,140183
37.99,145183
38.13,150183
38.29,150183
38.44,150183
38.59,150183
38.73,150183
38.88,150183
39.03,160183
39.17,160183
39.32,160183
39.46,160183
39.61,160183
39.76,160183
39.90,160183
40.05,134910
40.20,134910
40.35,134910
40.50,134910
40.66,134910
40.81,134910
40.95,134910
41.10,144910
41.26,144910
41.41,144910
41.56,144910
41.70,144910
41.85,144910
41.99,151910
42.14,154910
42.28,154910
42.42,154910
42.57,154910
42.73,154910
42.88,154910
43.02,164910
43.17,164910
43.31,164910
43.45,164910
43.60,164910
43.74,164910
43.89,164910
44.04,174910
44.18,174910
44.32,174910
44.47,174910
44.61,174910
44.76,174910
44.91,174910
45.06,150546
45.21,150546
45.35,150546
45.49,150546
45.63,150546
45.78,150546
45.93,150546
46.08,160546
46.22,160546
46.36,160546
46.50,160546
46.64,160546
46.79,160546
46.94,160546
47.08,170546
47.22,170546
47.37,170546
47.52,170546
47.67,170546
47.81,170546
47.97,170546
48.12,180546
48.26,180546
48.42,180546
48.57,180546
48.71,180546
48.86,180546
49.02,190546
49.17,190546
49.33,190546
49.49,190546
49.63,190546
49.78,190546
49.92,190546
50.06,166298
50.20,166298
50.35,166298
50.51,166298
50.66,166298
50.81,166298
50.96,166298
51.10,176298
51.26,176298
51.40,176298
51.56,176298
51.71,176298
51.85,176298
52.00,184298
52.14,186298
52.28,186298
52.43,186298
52.57,186298
52.72,186298
52.87,186298
53.01,196298
53.15,196298
53.29,196298
53.43,196298
53.57,196298
53.72,196298
53.86,196298
54.00,206298
54.15,206298
54.29,206298
54.44,206298
54.58,206298
54.73,206298
54.87,206298
55.02,180029
55.16,180029
55.30,180029
55.44,180029
55.59,180029
55.73,180029
55.87,180029
56.02,190029
56.17,190029
56.31,190029
56.46,190029
56.61,190029
56.76,190029
56.90,190029
57.05,200029
57.19,200029
57.34,200029
57.49,200029
57.64,200029
57.79,200029
57.94,200029
58.08,210029
58.23,210029
58.37,210029
58.51,210029
58.65,210029
58.80,210029
58.94,210029
59.08,220029
59.23,220029
59.38,220029
59.53,220029
59.67,220029
59.81,220029
59.95,220029
60.09,195541
60.24,195541
60.38,195541
60.53,195541
60.67,195541
60.83,195541
60.97,195541
61.11,205541
61.25,205541
61.39,205541
61.54,205541
61.68,205541
61.82,205541
61.96,205541
62.10,215541
62.24,215541
62.39,215541
62.53,215541
62.67,215541
62.82,215541
62.96,215541
63.10,225541
63.24,225541
63.38,225541
63.52,225541
63.67,225541
63.81,225541
63.96,225541
64.11,235541
64.26,235541
64.41,235541
64.56,235541
64.71,235541
64.86,235541
65.00,210605
65.15,210605
65.30,210605
65.44,210605
65.59,210605
65.73,210605
65.88,210605
66.03,220605
66.17,220605
66.32,220605
66.46,220605
66.60,220605
66.75,220605
66.89,220605
67.04,230605
67.19,230605
67.34,230605
67.48,230605
67.62,230605
67.77,230605
67.92,230605
68.08,240605
68.24,240605
68.39,240605
68.53,240605
68.67,240605
68.82,240605
68.96,240605
69.10,250605
69.25,250605
69.40,250605
69.54,250605
69.69,250605
69.83,250605
69.97,215661
70.12,225661
70.27,225661
70.42,225661
70.57,225661
70.71,225661
70.85,225661
71.01,235661
71.15,235661
71.29,235661
71.44,235661
71.58,235661
71.72,235661
71.87,235661
72.02,245661
72.17,245661
72.32,245661
72.48,245661
72.63,245661
72.78,245661
72.92,245661
73.07,255661
73.23,255661
73.39,255661
73.55,255661
73.70,255661
73.85,255661
74.00,265661
74.14,265661
74.28,265661
74.43,265661
74.58,265661
74.72,265661
74.86,265661
75.00,241692
75.15,241692
75.29,241692
75.43,241692
75.58,241692
75.72,241692
75.86,241692
76.00,251692
76.15,251692
76.29,251692
76.44,251692
76.58,251692
76.72,251692
76.86,251692
77.01,261692
77.15,261692
77.29,261692
77.43,261692
77.58,261692
77.72,261692
77.86,261692
78.01,271692
78.15,271692
78.29,271692
78.43,271692
78.58,271692
78.72,271692
78.86,271692
79.00,281692
79.15,281692
79.29,281692
79.43,281692
79.57,281692
79.71,281692
79.85,281692
80.00,253995
80.14,255995
80.29,255995
80.44,255995
80.59,255995
80.73,255995
80.88,255995
81.03,265995
81.18,265995
81.32,265995
81.47,265995
81.62,265995
81.76,265995
81.92,265995
82.06,275995
82.21,275995
82.35,275995
82.49,275995
82.64,275995
82.79,275995
82.94,275995
83.08,285995
83.22,285995
83.36,285995
83.50,285995
83.65,285995
83.79,285995
83.93,285995
84.08,295995
84.22,295995
84.35,295995
84.49,295995
84.64,295995
84.79,295995
84.94,295995
85.08,271787
85.23,271787
85.37,271787
85.51,271787
85.66,271787
85.80,271787
85.94,271787
86.08,281787
86.22,281787
86.36,281787
86.51,281787
86.65,281787
86.79,281787
86.94,281787
87.08,291787
87.22,291787
87.37,291787
87.51,291787
87.65,291787
87.80,291787
87.94,291787
88.09,301787
88.23,301787
88.38,301787
88.53,301787
88.68,301787
88.83,301787
88.97,301787
89.12,311787
89.27,311787
89.43,311787
89.57,311787
89.72,311787
89.86,311787
90.01,287228
90.16,287228
90.30,287228
90.45,287228
90.59,287228
90.73,287228
90.88,287228
91.02,297228
91.16,297228
91.32,297228
91.46,297228
91.61,297228
91.75,297228
91.89,297228
92.03,307228
92.18,307228
92.33,307228
92.47,307228
92.61,307228
92.76,307228
92.90,307228
93.04,317228
93.18,317228
93.33,317228
93.47,317228
93.62,317228
93.77,317228
93.92,317228
94.07,327228
94.21,327228
94.36,327228
94.50,327228
94.64,327228
94.79,327228
94.93,327228
95.07,301137
95.21,301137
95.35,301137
95.49,301137
95.64,301137
95.78,301137
95.92,301137
96.06,311137
96.20,311137
96.34,311137
96.49,311137
96.63,311137
96.78,311137
96.94,311137
97.09,321137
97.24,321137
97.39,321137
97.53,321137
97.68,321137
97.83,321137
97.98,323137
98.13,331137
98.27,331137
98.42,331137
98.56,331137
98.71,331137
98.85,331137
99.00,341137
99.14,341137
99.29,341137
99.43,341137
99.57,341137
99.71,341137
99.86,341137
100.01,316808
100.15,316808
100.29,316808
100.44,316808
100.58,316808
100.73,316808
100.87,316808
101.02,326808
101.16,326808
101.30,326808
101.45,326808
101.59,326808
101.73,326808
101.87,326808
