epoch,lag
0.37,10000
0.50,10000
0.64,10000
0.79,10000
0.93,10000
1.07,20000
1.21,20000
1.35,20000
1.49,20000
1.63,20000
1.77,20000
1.91,20000
2.05,30000
2.19,30000
2.33,30000
2.46,30000
2.61,30000
2.75,30000
2.89,30000
3.03,40000
3.18,40000
3.32,40000
3.46,40000
3.60,40000
3.73,40000
3.87,40000
4.01,46000
4.14,50000
4.28,50000
4.42,50000
4.56,50000
4.69,50000
4.84,50000
4.97,50000
5.11,60000
5.25,60000
5.38,0
5.52,0
5.66,0
5.79,0
5.93,0
6.07,10000
6.20,10000
6.34,10000
6.48,10000
6.61,10000
6.75,10000
6.88,10000
7.02,20000
7.15,20000
7.29,20000
7.42,20000
7.56,20000
7.70,20000
7.83,20000
7.98,20000
8.11,30000
8.25,30000
8.39,30000
8.53,30000
8.67,30000
8.80,30000
8.94,30000
9.08,40000
9.21,40000
9.35,40000
9.49,40000
9.63,40000
9.77,40000
9.91,40000
10.05,50000
10.19,50000
10.33,50000
10.47,500
10.62,500
10.77,500
10.91,500
11.04,10500
11.18,10500
11.32,10500
11.46,10500
11.60,10500
11.74,10500
11.88,10500
12.01,20500
12.15,20500
12.28,20500
12.42,20500
12.56,20500
12.70,20500
12.83,20500
12.97,20500
13.10,30500
13.26,30500
13.40,30500
13.54,30500
13.68,30500
13.82,30500
13.96,30500
14.09,40500
14.24,40500
14.37,40500
14.51,40500
14.64,40500
14.78,40500
14.92,40500
15.06,50500
15.19,50500
15.33,50500
15.47,0
15.62,0
15.76,0
15.89,0
16.03,10000
16.16,10000
16.30,10000
16.44,10000
16.58,10000
16.71,10000
16.85,10000
16.99,10000
17.13,20000
17.26,20000
17.41,20000
17.55,20000
17.69,20000
17.83,20000
17.96,20000
18.11,30000
18.25,30000
18.39,30000
18.54,30000
18.69,30000
18.83,30000
18.97,30000
19.11,40000
19.25,40000
19.39,40000
19.53,40000
19.67,40000
19.81,40000
19.95,40000
20.08,50000
20.22,50000
20.36,0
20.50,0
20.64,0
20.77,0
20.92,0
21.06,10000
21.20,10000
21.35,10000
21.49,10000
21.64,10000
21.78,10000
21.92,10000
22.05,20000
22.20,20000
22.34,20000
22.48,20000
22.62,20000
22.76,20000
22.90,20000
23.04,30000
23.18,30000
23.33,30000
23.48,30000
23.62,30000
23.76,30000
23.90,30000
24.04,40000
24.18,40000
24.32,40000
24.47,40000
24.61,40000
24.74,40000
24.88,40000
25.01,50000
25.15,50000
25.30,50000
25.43,0
25.57,0
25.71,0
25.84,0
25.98,0
26.11,10000
26.24,10000
26.38,10000
26.52,10000
26.66,10000
26.79,10000
26.93,10000
27.06,20000
27.20,20000
27.33,20000
27.47,20000
27.61,20000
27.75,20000
27.90,20000
28.04,30000
28.18,30000
28.32,30000
28.46,30000
28.61,30000
28.74,30000
28.88,30000
29.01,40000
29.15,40000
29.29,40000
29.43,40000
29.56,40000
29.70,40000
29.84,40000
29.97,40000
30.11,50000
30.25,50000
30.39,0
30.52,0
30.66,0
30.80,0
30.94,0
31.08,10000
31.23,10000
31.37,10000
31.51,10000
31.65,10000
31.79,10000
31.93,10000
32.07,20000
32.22,20000
32.36,20000
32.51,20000
32.65,20000
32.79,20000
32.93,20000
33.07,30000
33.21,30000
33.35,30000
33.49,30000
33.63,30000
33.76,30000
33.90,30000
34.04,40000
34.17,40000
34.31,40000
34.45,40000
34.59,40000
34.72,40000
34.86,40000
35.00,40000
35.13,50000
35.27,50000
35.41,0
35.55,0
35.68,0
35.82,0
35.96,0
36.09,10000
36.23,10000
36.37,10000
36.51,10000
36.65,10000
36.78,10000
36.92,10000
37.05,20000
37.20,20000
37.34,20000
37.49,20000
37.62,20000
37.76,20000
37.90,20000
38.04,30000
38.18,30000
38.31,30000
38.45,30000
38.59,30000
38.72,30000
38.86,30000
38.99,30000
39.13,40000
39.28,40000
39.42,40000
39.57,40000
39.72,40000
39.87,40000
40.01,49000
40.14,50000
40.29,50000
40.46,0
40.61,0
40.76,0
40.91,0
41.05,10000
41.19,10000
41.33,10000
41.47,10000
41.60,10000
41.75,10000
41.88,10000
42.02,20000
42.15,20000
42.29,20000
42.43,20000
42.57,20000
42.70,20000
42.84,20000
42.97,20000
43.12,30000
43.25,30000
43.40,30000
43.53,30000
43.68,30000
43.81,30000
43.95,30000
44.09,40000
44.22,40000
44.37,40000
44.51,40000
44.65,40000
44.78,40000
44.92,40000
45.05,50000
45.19,50000
45.34,50000
45.47,0
45.61,0
45.75,0
45.89,0
46.02,10000
46.15,10000
46.29,10000
46.43,10000
46.57,10000
46.70,10000
46.84,10000
46.98,10000
47.12,20000
47.25,20000
47.40,20000
47.54,20000
47.68,20000
47.82,20000
47.96,20000
48.10,30000
48.24,30000
48.39,30000
48.53,30000
48.67,30000
48.82,30000
48.96,30000
49.11,40000
49.25,40000
49.39,40000
49.53,40000
49.67,40000
49.81,40000
49.95,40000
50.09,50000
50.22,50000
50.36,0
50.50,0
50.63,0
50.78,0
50.91,0
51.05,10000
51.18,10000
51.32,10000
51.46,10000
51.60,10000
51.74,10000
51.88,10000
52.01,20000
52.15,20000
52.28,20000
52.42,20000
52.56,20000
52.70,20000
52.84,20000
52.97,20000
53.11,30000
53.25,30000
53.38,30000
53.52,30000
53.67,30000
53.80,30000
53.94,30000
54.08,40000
54.22,40000
54.36,40000
54.49,40000
54.63,40000
54.76,40000
54.90,40000
55.03,50000
55.17,50000
55.32,50000
55.46,0
55.60,0
55.74,0
55.88,0
56.02,10000
56.17,10000
56.31,10000
56.46,10000
56.61,10000
56.76,10000
56.90,10000
57.04,20000
57.18,20000
57.32,20000
57.47,20000
57.60,20000
57.74,20000
57.88,20000
58.01,30000
58.15,30000
58.29,30000
58.44,30000
58.58,30000
58.71,30000
58.86,30000
58.99,30000
59.12,40000
59.26,40000
59.40,40000
59.53,40000
59.67,40000
59.81,40000
59.95,40000
60.09,50000
60.22,50000
60.37,0
60.51,0
60.65,0
60.78,0
60.92,0
61.05,10000
61.18,10000
61.33,10000
61.46,10000
61.60,10000
61.74,10000
61.87,10000
62.01,19000
62.15,20000
62.28,20000
62.42,20000
62.55,20000
62.69,20000
62.83,20000
62.96,20000
63.09,30000
63.23,30000
63.36,30000
63.50,30000
63.64,30000
63.78,30000
63.91,30000
64.06,40000
64.20,40000
64.34,40000
64.49,40000
64.64,40000
64.78,40000
64.92,40000
65.06,50000
65.20,50000
65.34,50000
65.49,0
65.63,0
65.77,0
65.91,0
66.04,10000
66.18,10000
66.31,10000
66.45,10000
66.59,10000
66.73,10000
66.86,10000
67.00,10000
67.13,20000
67.27,20000
67.41,20000
67.55,20000
67.68,20000
67.82,20000
67.95,20000
68.09,30000
68.22,30000
68.36,30000
68.49,30000
68.63,30000
68.77,30000
68.91,30000
69.05,40000
69.18,40000
69.32,40000
69.45,40000
69.59,40000
69.73,40000
69.86,40000
70.00,43000
70.14,50000
70.28,50000
70.41,0
70.55,0
70.69,0
70.83,0
70.97,0
71.10,10000
71.24,10000
71.38,10000
71.52,10000
71.65,10000
71.80,10000
71.94,10000
72.08,20000
72.21,20000
72.36,20000
72.51,20000
72.65,20000
72.80,20000
72.94,20000
73.08,30000
73.23,30000
73.38,30000
73.52,30000
73.67,30000
73.81,30000
73.95,30000
74.09,40000
74.23,40000
74.37,40000
74.51,40000
74.65,40000
74.78,40000
74.92,40000
75.06,50000
75.19,50000
75.33,50000
75.47,0
75.60,0
75.74,0
75.88,0
76.02,10000
76.15,10000
76.28,10000
76.42,10000
76.56,10000
76.70,10000
76.83,10000
76.96,10000
77.10,20000
77.24,20000
77.38,20000
77.53,20000
77.66,20000
